This	is	so	awesome 	data 	I	cannot	believe	D	1	1	1
This	is	so	awesome 	data 	I	cannot	believe	D	2	2	2
This	is	so	awesome 	data 	I	cannot	believe	D	3	3	3
This	is	so	awesome 	data 	I	cannot	believe	D	4	4	4
This	is	so	awesome 	data 	I	cannot	believe	D	5	5	5
This	is	so	awesome 	data 	I	cannot	believe	D	6	6	6
This	is	so	awesome 	data 	I	cannot	believe	D	7	7	7
This	is	so	awesome 	data 	I	cannot	believe	D	8	8	8
This	is	so	awesome 	data 	I	cannot	believe	D	9	9	9
This	is	so	awesome 	data 	I	cannot	believe	D	10	10	10
This	is	so	awesome 	data 	I	cannot	believe	D	11	11	11
This	is	so	awesome 	data 	I	cannot	believe	D	12	12	12
This	is	so	awesome 	data 	I	cannot	believe	D	13	13	13
This	is	so	awesome 	data 	I	cannot	believe	D	14	14	14
This	is	so	awesome 	data 	I	cannot	believe	D	15	15	15
This	is	so	awesome 	data 	I	cannot	believe	D	16	16	16
This	is	so	awesome 	data 	I	cannot	believe	D	17	17	17
This	is	so	awesome 	data 	I	cannot	believe	D	18	18	18
This	is	so	awesome 	data 	I	cannot	believe	D	19	19	19
This	is	so	awesome 	data 	I	cannot	believe	D	20	20	20
This	is	so	awesome 	data 	I	cannot	believe	D	21	21	21
This	is	so	awesome 	data 	I	cannot	believe	D	22	22	22
This	is	so	awesome 	data 	I	cannot	believe	D	23	23	23
This	is	so	awesome 	data 	I	cannot	believe	D	24	24	24
This	is	so	awesome 	data 	I	cannot	believe	D	25	25	25
This	is	so	awesome 	data 	I	cannot	believe	D	26	26	26
This	is	so	awesome 	data 	I	cannot	believe	D	27	27	27
This	is	so	awesome 	data 	I	cannot	believe	D	28	28	28
This	is	so	awesome 	data 	I	cannot	believe	D	29	29	29
This	is	so	awesome 	data 	I	cannot	believe	D	30	30	30
This	is	so	awesome 	data 	I	cannot	believe	D	31	31	31
This	is	so	awesome 	data 	I	cannot	believe	D	32	32	32
This	is	so	awesome 	data 	I	cannot	believe	D	33	33	33
This	is	so	awesome 	data 	I	cannot	believe	D	34	34	34
This	is	so	awesome 	data 	I	cannot	believe	D	35	35	35
This	is	so	awesome 	data 	I	cannot	believe	D	36	36	36
